lambda,nr,Kab,Kcar,Kant,Kbrw,Kw,Km
400,1.5115,0.0648815,0.16734,0.0666747,0.5272,5.80E-05,109.7
401,1.5115,0.0667318,0.167607,0.0640556,0.5262,5.85E-05,103.7
402,1.5115,0.0685513,0.167184,0.0619332,0.5252,5.90E-05,97.98
403,1.5115,0.0699821,0.167207,0.0599215,0.5242,5.99E-05,92.44
404,1.5115,0.0709,0.167613,0.058277,0.5232,6.10E-05,87.13
405,1.5115,0.0713334,0.167596,0.0566994,0.5222,6.20E-05,82.31
406,1.5108,0.0713202,0.167513,0.0553657,0.5212,6.30E-05,78.06
407,1.5101,0.0712604,0.167426,0.0541628,0.5202,6.40E-05,74.04
408,1.5095,0.0712231,0.167239,0.0531158,0.5192,6.50E-05,70.13
409,1.5088,0.071228,0.166682,0.0519797,0.5182,6.60E-05,66.54
410,1.5081,0.0714914,0.165882,0.0509515,0.5172,6.70E-05,63
411,1.5076,0.0718877,0.165517,0.0501165,0.5162,6.79E-05,59.54
412,1.5071,0.0720185,0.165446,0.0493873,0.5152,6.90E-05,56.16
413,1.5065,0.0718268,0.165689,0.0486038,0.5142,7.05E-05,53
414,1.506,0.0714934,0.166088,0.0478761,0.5132,7.20E-05,50.01
415,1.5055,0.0711319,0.166189,0.0473795,0.5122,7.31E-05,47.23
416,1.505,0.0707629,0.166288,0.0468987,0.5112,7.40E-05,44.63
417,1.5046,0.0704367,0.166456,0.0465315,0.5102,7.49E-05,42.2
418,1.5041,0.070094,0.166622,0.0461572,0.5092,7.60E-05,39.96
419,1.5037,0.0698404,0.166873,0.0457923,0.5082,7.74E-05,37.8
420,1.5032,0.0698193,0.167164,0.0454286,0.5072,7.90E-05,35.67
421,1.5029,0.0700539,0.167544,0.0451439,0.5062,8.06E-05,33.62
422,1.5026,0.0702815,0.16798,0.0448451,0.5052,8.20E-05,31.7
423,1.5022,0.070503,0.168439,0.0445356,0.5042,8.30E-05,29.93
424,1.5019,0.0704727,0.168599,0.0442495,0.5032,8.40E-05,28.32
425,1.5016,0.0705277,0.168474,0.0441159,0.5022,8.55E-05,26.79
426,1.5013,0.0708095,0.168142,0.0439576,0.5012,8.70E-05,25.35
427,1.501,0.0713124,0.168,0.043874,0.5002,8.80E-05,24.02
428,1.5008,0.0716223,0.167725,0.0438046,0.4992,8.90E-05,22.76
429,1.5005,0.0719053,0.167413,0.0438581,0.4982,9.05E-05,21.5
430,1.5002,0.0724491,0.167551,0.0438612,0.4972,9.20E-05,20.24
431,1.5,0.0730907,0.167744,0.0439124,0.496,9.30E-05,19.01
432,1.4997,0.0736521,0.167905,0.0439588,0.4948,9.40E-05,17.85
433,1.4995,0.074047,0.167971,0.0440366,0.4936,9.55E-05,16.76
434,1.4992,0.0743349,0.167937,0.0441105,0.4924,9.70E-05,15.75
435,1.499,0.0745425,0.167973,0.0442029,0.4912,9.80E-05,14.81
436,1.4988,0.0746911,0.168177,0.0442768,0.49,9.90E-05,13.92
437,1.4986,0.0746534,0.168322,0.0443989,0.4888,0.0001005,13.12
438,1.4984,0.0745703,0.168695,0.0445095,0.4876,0.000102,12.33
439,1.4982,0.0742853,0.169163,0.0446471,0.4864,0.0001031,11.61
440,1.498,0.0737942,0.169569,0.0447865,0.4852,0.000104,10.96
441,1.4977,0.072818,0.169678,0.0449193,0.484,0.000105,10.41
442,1.4974,0.0716223,0.169631,0.0450615,0.4829,0.000106,9.924
443,1.4972,0.0704587,0.1699,0.0452269,0.4817,0.000107,9.41
444,1.4969,0.0691047,0.169905,0.0454154,0.4805,0.000108,8.947
445,1.4966,0.0675675,0.169815,0.0455895,0.4793,0.000109,8.508
446,1.4964,0.0660264,0.16977,0.0457528,0.4781,0.00011,8.087
447,1.4962,0.0644919,0.16973,0.045857,0.4769,0.000111,7.64
448,1.4959,0.0626681,0.169345,0.045994,0.4757,0.000112,7.268
449,1.4957,0.0607546,0.168568,0.0461954,0.4745,0.000113,6.939
450,1.4955,0.0587747,0.167441,0.0464136,0.4733,0.000114,6.66
451,1.4953,0.0567782,0.166023,0.0466797,0.472,0.000115,6.422
452,1.4951,0.0547324,0.164464,0.046953,0.4708,0.000116,6.222
453,1.4949,0.0528441,0.162899,0.0471624,0.4695,0.000117,6.01
454,1.4947,0.0511254,0.161362,0.04736,0.4683,0.000118,5.782
455,1.4945,0.0495729,0.15978,0.0475935,0.467,0.000119,5.573
456,1.4943,0.048139,0.158224,0.0478138,0.4658,0.00012,5.37
457,1.4942,0.0468009,0.156555,0.0480817,0.4645,0.000121,5.173
458,1.494,0.0456455,0.154969,0.0483353,0.4633,0.000122,4.946
459,1.4939,0.0446906,0.153299,0.0485953,0.462,0.000123,4.761
460,1.4937,0.0438733,0.151672,0.0488393,0.4608,0.000124,4.575
461,1.4935,0.0431621,0.149969,0.0491231,0.4597,0.000125,4.419
462,1.4934,0.0426533,0.148319,0.0493705,0.4587,0.000126,4.259
463,1.4932,0.0422062,0.146765,0.0496082,0.4577,0.000127,4.117
464,1.4931,0.0417743,0.145076,0.0498409,0.4566,0.000128,4.006
465,1.4929,0.0412972,0.143493,0.050136,0.4556,0.0001289,3.945
466,1.4928,0.0409113,0.142004,0.0504203,0.4546,0.00013,3.853
467,1.4927,0.0405705,0.14055,0.0507836,0.4535,0.0001315,3.784
468,1.4925,0.0403017,0.139191,0.0511498,0.4525,0.000133,3.671
469,1.4924,0.0400089,0.138023,0.0515566,0.4515,0.000134,3.554
470,1.4923,0.0397273,0.137008,0.0519406,0.4504,0.000135,3.462
471,1.4922,0.0395205,0.136145,0.0523872,0.4494,0.0001364,3.363
472,1.492,0.039292,0.13548,0.0528197,0.4484,0.000138,3.282
473,1.4919,0.0390352,0.134998,0.0534087,0.4473,0.0001396,3.184
474,1.4917,0.0387726,0.134639,0.0539897,0.4463,0.000141,3.102
475,1.4916,0.0385228,0.134366,0.0544621,0.4453,0.0001424,3.051
476,1.4915,0.0382599,0.134169,0.0549398,0.4442,0.000144,2.983
477,1.4914,0.0378812,0.133937,0.055543,0.4432,0.0001459,2.947
478,1.4912,0.03751,0.133745,0.0561548,0.4422,0.000148,2.913
479,1.4911,0.0371492,0.133557,0.0566378,0.4411,0.0001499,2.869
480,1.491,0.0367757,0.133271,0.0571515,0.4401,0.000152,2.803
481,1.4909,0.0363,0.132787,0.0576893,0.4388,0.0001544,2.777
482,1.4907,0.0357606,0.132173,0.0582652,0.4375,0.000157,2.751
483,1.4906,0.03521,0.131409,0.058847,0.4362,0.0001596,2.726
484,1.4904,0.0345829,0.130422,0.0594778,0.435,0.000162,2.702
485,1.4903,0.0339091,0.129222,0.0600537,0.4337,0.0001643,2.679
486,1.4902,0.0331842,0.127818,0.0606698,0.4324,0.000167,2.656
487,1.49,0.0323774,0.126314,0.061221,0.4311,0.0001704,2.634
488,1.4899,0.0315189,0.124566,0.0618094,0.4298,0.000174,2.613
489,1.4897,0.0305842,0.122692,0.0623585,0.4285,0.0001775,2.593
490,1.4896,0.0296622,0.120655,0.0629224,0.4272,0.000181,2.573
491,1.4895,0.0286992,0.118603,0.0634338,0.426,0.0001849,2.554
492,1.4893,0.0276921,0.11652,0.0639703,0.4247,0.000189,2.536
493,1.4892,0.0266404,0.11441,0.0644618,0.4234,0.0001934,2.519
494,1.489,0.0255901,0.112274,0.0649644,0.4221,0.000198,2.502
495,1.4889,0.0245165,0.110113,0.0654305,0.4208,0.0002031,2.486
496,1.4887,0.0234283,0.10793,0.0659096,0.4195,0.000209,2.471
497,1.4885,0.0223279,0.105726,0.0663776,0.4183,0.0002158,2.457
498,1.4884,0.0212239,0.103502,0.0668519,0.417,0.000223,2.443
499,1.4882,0.0201366,0.101261,0.0673086,0.4157,0.0002303,2.43
500,1.488,0.0190485,0.0990044,0.0677709,0.4144,0.000238,2.417
501,1.4878,0.0179798,0.0967335,0.0681326,0.4135,0.0002463,2.405
502,1.4876,0.0169429,0.0944502,0.0684792,0.4127,0.000255,2.394
503,1.4875,0.0159234,0.0921564,0.0688146,0.4118,0.000264,2.384
504,1.4873,0.0149343,0.0898536,0.0691402,0.4109,0.000273,2.374
505,1.4871,0.0139785,0.0875437,0.0693615,0.41,0.0002819,2.365
506,1.4869,0.0130497,0.0852284,0.069563,0.4092,0.000291,2.356
507,1.4867,0.0121542,0.0829094,0.069828,0.4083,0.0003004,2.348
508,1.4865,0.0112959,0.0805884,0.0700735,0.4074,0.00031,2.341
509,1.4863,0.01048,0.0782671,0.0702792,0.4065,0.0003194,2.334
510,1.4861,0.00970081,0.0759473,0.0704719,0.4057,0.000329,2.328
511,1.4859,0.00895396,0.0736308,0.0706789,0.4047,0.000339,2.323
512,1.4856,0.0082461,0.0713191,0.0708719,0.4038,0.000349,2.318
513,1.4854,0.00758,0.0690141,0.0710254,0.4028,0.0003588,2.314
514,1.4851,0.00695743,0.0667175,0.0711652,0.4019,0.000368,2.31
515,1.4849,0.00638669,0.064431,0.0712852,0.4009,0.0003767,2.307
516,1.4846,0.00586805,0.0621564,0.0713896,0.4,0.000386,2.304
517,1.4844,0.00540153,0.0598953,0.0714865,0.399,0.0003962,2.302
518,1.4841,0.00499129,0.0576495,0.0715735,0.3981,0.000404,2.301
519,1.4839,0.00463493,0.0554207,0.0716303,0.3971,0.0004069,2.3
520,1.4836,0.00433379,0.0532106,0.0716821,0.3962,0.000409,2.3
521,1.4833,0.00408503,0.0510211,0.0717393,0.3952,0.0004138,2.3
522,1.483,0.00388739,0.0488537,0.0717754,0.3943,0.000416,2.3
523,1.4828,0.00374206,0.0467102,0.0718152,0.3933,0.0004112,2.3
524,1.4825,0.00365252,0.0445924,0.0718641,0.3924,0.000409,2.3
525,1.4822,0.00361178,0.042502,0.0719587,0.3914,0.0004176,2.3
526,1.4819,0.00361934,0.0404407,0.0720597,0.3905,0.000427,2.3
527,1.4816,0.00367282,0.0384102,0.0721526,0.3895,0.0004268,2.3
528,1.4813,0.00376967,0.0364122,0.0722403,0.3886,0.000423,2.3
529,1.481,0.00390324,0.0344486,0.0722952,0.3876,0.0004237,2.3
530,1.4807,0.00406899,0.0325209,0.0723492,0.3867,0.000429,2.3
531,1.4804,0.00426366,0.030631,0.0724141,0.3846,0.0004371,2.3
532,1.4801,0.00448428,0.0287806,0.0724758,0.3824,0.000445,2.3
533,1.4797,0.00472995,0.0269713,0.0725103,0.3803,0.0004506,2.3
534,1.4794,0.00499348,0.025205,0.0725285,0.3782,0.000456,2.3
535,1.4791,0.00527276,0.0234833,0.0725289,0.376,0.0004631,2.3
536,1.4788,0.00556455,0.0218079,0.0725061,0.3739,0.00047,2.3
537,1.4784,0.00586623,0.0201807,0.0724327,0.3718,0.0004748,2.3
538,1.4781,0.00617059,0.0186033,0.0723404,0.3696,0.00048,2.3
539,1.4777,0.00647922,0.0170774,0.0722102,0.3675,0.0004879,2.3
540,1.4774,0.0067864,0.0156048,0.0720633,0.3654,0.000495,2.3
541,1.4771,0.00709,0.0141872,0.0718369,0.3639,0.0004983,2.3
542,1.4767,0.007388,0.0128264,0.0716024,0.3625,0.000503,2.3
543,1.4764,0.00767415,0.011524,0.0713427,0.3611,0.0005141,2.3
544,1.476,0.00794833,0.0102818,0.0710671,0.3597,0.000527,2.3
545,1.4757,0.00820829,0.00910146,0.0707065,0.3582,0.0005363,2.3
546,1.4753,0.00845364,0.00798479,0.0703069,0.3568,0.000544,2.3
547,1.475,0.00868499,0.00693348,0.0698401,0.3554,0.0005532,2.3
548,1.4746,0.00890368,0.00594925,0.0693554,0.354,0.000564,2.3
549,1.4743,0.0091119,0.00503384,0.0687563,0.3525,0.0005759,2.3
550,1.4739,0.00930939,0.00418898,0.0681398,0.3511,0.000588,2.3
551,1.4735,0.00950012,0.00341638,0.06744,0.35,0.0005998,2.3
552,1.4732,0.00968213,0.00271778,0.0667326,0.3489,0.000611,2.3
553,1.4728,0.00986391,0.0020949,0.0659041,0.3478,0.0006215,2.3
554,1.4725,0.01004,0.00154947,0.0650612,0.3467,0.000631,2.3
555,1.4721,0.0102144,0.00108322,0.0642103,0.3456,0.0006391,2.3
556,1.4717,0.0103855,0.000697863,0.0633575,0.3445,0.000646,2.3
557,1.4713,0.0105557,0.000395138,0.0624373,0.3434,0.000652,2.3
558,1.4709,0.0107242,0.000176768,0.0615175,0.3423,0.000658,2.3
559,1.4705,0.0108889,4.45E-05,0.0605785,0.3412,0.0006647,2.3
560,1.4701,0.011048,2.13E-13,0.0596515,0.3401,0.000672,2.3
561,1.4697,0.0112169,0,0.0586113,0.3383,0.0006793,2.3
562,1.4693,0.0114015,0,0.057591,0.3366,0.000686,2.3
563,1.4689,0.0116055,0,0.0565542,0.3348,0.000692,2.3
564,1.4685,0.0118272,0,0.0555431,0.333,0.000699,2.3
565,1.4681,0.0120748,0,0.0543786,0.3312,0.0007084,2.3
566,1.4677,0.0123402,0,0.0532432,0.3294,0.000718,2.3
567,1.4673,0.012628,0,0.052056,0.3276,0.0007257,2.3
568,1.467,0.012933,0,0.0509,0.3258,0.000734,2.3
569,1.4666,0.0132595,0,0.0496714,0.3241,0.0007455,2.3
570,1.4662,0.0135979,0,0.0484808,0.3223,0.000759,2.3
571,1.4658,0.0139469,0,0.0473085,0.3202,0.0007729,2.3
572,1.4654,0.0143014,0,0.0461743,0.3182,0.000787,2.3
573,1.4651,0.0146577,0,0.0450001,0.3162,0.000802,2.3
574,1.4647,0.0150102,0,0.0438705,0.3141,0.000819,2.3
575,1.4643,0.0153567,0,0.0427812,0.3121,0.0008386,2.3
576,1.4639,0.0156935,0,0.0417338,0.31,0.000858,2.3
577,1.4635,0.0160234,0,0.0406179,0.308,0.0008754,2.3
578,1.4632,0.0163397,0,0.0395431,0.3059,0.000896,2.3
579,1.4628,0.0166478,0,0.0384569,0.3039,0.0009238,2.3
580,1.4624,0.0169452,0,0.037412,0.3019,0.000952,2.3
581,1.462,0.0172407,0,0.0362003,0.2999,0.0009745,2.3
582,1.4616,0.0175269,0,0.0350426,0.2979,0.001,2.3
583,1.4613,0.0178005,0,0.0339189,0.2959,0.001037,2.3
584,1.4609,0.0180658,0,0.0328458,0.294,0.001079,2.3
585,1.4605,0.0183248,0,0.0317012,0.292,0.001119,2.3
586,1.4602,0.0185679,0,0.0306065,0.29,0.001159,2.3
587,1.4598,0.0188,0,0.0296161,0.2881,0.001204,2.3
588,1.4595,0.0190186,0,0.0286652,0.2861,0.001253,2.3
589,1.4591,0.0192278,0,0.0277151,0.2841,0.001304,2.3
590,1.4588,0.0194191,0,0.0268029,0.2821,0.001356,2.3
591,1.4585,0.0195991,0,0.0259512,0.2803,0.001408,2.3
592,1.4582,0.0197663,0,0.0251335,0.2784,0.001459,2.3
593,1.4579,0.0199222,0,0.0242929,0.2766,0.00151,2.3
594,1.4576,0.0200656,0,0.0234865,0.2747,0.001567,2.3
595,1.4573,0.0201988,0,0.0226866,0.2728,0.001635,2.3
596,1.457,0.0203266,0,0.0219176,0.271,0.0017,2.3
597,1.4567,0.0204577,0,0.0210849,0.2691,0.001758,2.3
598,1.4565,0.0205849,0,0.0202843,0.2673,0.00186,2.3
599,1.4562,0.0207154,0,0.0194972,0.2654,0.002042,2.3
600,1.4559,0.020854,0,0.0187401,0.2636,0.002224,2.3
601,1.4556,0.0210068,0,0.017977,0.2618,0.002323,2.3
